Frame,Start Time,End Time,Type,Delay (ms)
267,2024-11-11 18:11:22.973102,2024-11-11 18:11:22.984713,Client,11.611
268,2024-11-11 18:11:23.022449,2024-11-11 18:11:23.030245,Client,7.796
269,2024-11-11 18:11:23.067694,2024-11-11 18:11:23.080244,Client,12.55
270,2024-11-11 18:11:23.115401,2024-11-11 18:11:23.125239,Client,9.838
271,2024-11-11 18:11:23.161277,2024-11-11 18:11:23.170669,Client,9.392
272,2024-11-11 18:11:23.208490,2024-11-11 18:11:23.210298,Client,1.8079999999999998
273,2024-11-11 18:11:23.256169,2024-11-11 18:11:23.260277,Client,4.108
274,2024-11-11 18:11:23.305581,2024-11-11 18:11:23.310413,Client,4.832000000000001
275,2024-11-11 18:11:23.354353,2024-11-11 18:11:23.360493,Client,6.14
276,2024-11-11 18:11:23.360493,2024-11-11 18:11:23.370594,Predicted,10.101
277,2024-11-11 18:11:23.370594,2024-11-11 18:11:23.370594,Predicted,0.0
278,2024-11-11 18:11:23.370594,2024-11-11 18:11:23.370594,Predicted,0.0
279,2024-11-11 18:11:23.370594,2024-11-11 18:11:23.382581,Predicted,11.987
280,2024-11-11 18:11:23.382581,2024-11-11 18:11:23.384690,Predicted,2.109
281,2024-11-11 18:11:23.384690,2024-11-11 18:11:23.390459,Predicted,5.769
282,2024-11-11 18:11:23.390459,2024-11-11 18:11:23.390459,Predicted,0.0
283,2024-11-11 18:11:23.390459,2024-11-11 18:11:23.390459,Predicted,0.0
284,2024-11-11 18:11:23.390459,2024-11-11 18:11:23.402977,Predicted,12.517999999999999
285,2024-11-11 18:11:23.402977,2024-11-11 18:11:23.402977,Predicted,0.0
286,2024-11-11 18:11:23.402977,2024-11-11 18:11:23.410241,Predicted,7.263999999999999
287,2024-11-11 18:11:23.410241,2024-11-11 18:11:23.410241,Predicted,0.0
288,2024-11-11 18:11:23.415339,2024-11-11 18:11:23.416444,Predicted,1.105
289,2024-11-11 18:11:23.416444,2024-11-11 18:11:23.420168,Predicted,3.7239999999999998
290,2024-11-11 18:11:23.420168,2024-11-11 18:11:23.420168,Predicted,0.0
291,2024-11-11 18:11:23.420168,2024-11-11 18:11:23.430348,Predicted,10.18
292,2024-11-11 18:11:23.430348,2024-11-11 18:11:23.432452,Predicted,2.104
293,2024-11-11 18:11:23.432452,2024-11-11 18:11:23.432452,Predicted,0.0
294,2024-11-11 18:11:23.432452,2024-11-11 18:11:23.440217,Predicted,7.765000000000001
295,2024-11-11 18:11:23.440217,2024-11-11 18:11:23.440217,Predicted,0.0
296,2024-11-11 18:11:23.440217,2024-11-11 18:11:23.447724,Predicted,7.507
297,2024-11-11 18:11:23.447724,2024-11-11 18:11:23.450480,Predicted,2.7560000000000002
298,2024-11-11 18:11:23.450480,2024-11-11 18:11:23.455587,Predicted,5.107
299,2024-11-11 18:11:23.455587,2024-11-11 18:11:23.460351,Predicted,4.764
300,2024-11-11 18:11:23.460351,2024-11-11 18:11:23.463461,Predicted,3.11
301,2024-11-11 18:11:24.664286,2024-11-11 18:11:24.680486,Client,16.2
302,2024-11-11 18:11:24.715161,2024-11-11 18:11:24.726530,Client,11.369
303,2024-11-11 18:11:24.764101,2024-11-11 18:11:24.770372,Client,6.271
304,2024-11-11 18:11:24.810345,2024-11-11 18:11:24.820517,Client,10.172
305,2024-11-11 18:11:24.860545,2024-11-11 18:11:24.870713,Client,10.168
306,2024-11-11 18:11:24.910537,2024-11-11 18:11:24.920485,Client,9.948
307,2024-11-11 18:11:24.961766,2024-11-11 18:11:24.972281,Client,10.515
308,2024-11-11 18:11:25.010399,2024-11-11 18:11:25.013007,Client,2.608
309,2024-11-11 18:11:25.055827,2024-11-11 18:11:25.060575,Client,4.747999999999999
310,2024-11-11 18:11:25.104603,2024-11-11 18:11:25.110319,Client,5.715999999999999
311,2024-11-11 18:11:25.152808,2024-11-11 18:11:25.160578,Client,7.77
312,2024-11-11 18:11:25.200482,2024-11-11 18:11:25.210373,Client,9.891
313,2024-11-11 18:11:25.250488,2024-11-11 18:11:25.260301,Client,9.813
314,2024-11-11 18:11:25.300378,2024-11-11 18:11:25.300378,Client,0.0
315,2024-11-11 18:11:25.346253,2024-11-11 18:11:25.350512,Client,4.2589999999999995
316,2024-11-11 18:11:25.393400,2024-11-11 18:11:25.405405,Client,12.005
317,2024-11-11 18:11:25.444599,2024-11-11 18:11:25.455524,Client,10.925
318,2024-11-11 18:11:25.492322,2024-11-11 18:11:25.500584,Client,8.262
319,2024-11-11 18:11:25.541737,2024-11-11 18:11:25.555144,Client,13.407
320,2024-11-11 18:11:25.591242,2024-11-11 18:11:25.600674,Client,9.431999999999999
321,2024-11-11 18:11:25.640452,2024-11-11 18:11:25.652433,Client,11.981
322,2024-11-11 18:11:25.690789,2024-11-11 18:11:25.700677,Client,9.888
323,2024-11-11 18:11:25.740202,2024-11-11 18:11:25.750035,Client,9.833
